Listing,Price,Date posted,Distance from zip
Miniature Country Style High Chair ,25,Apr 10,0.0
China Closet or Hutch ,100,Apr 10,0.0
Ikea Botkyrka Shelves ,75,Apr 13,1.5
9pc Dining Room Set ,400,Apr 1,3.8
Lighted Display Unit ,75,Apr 1,3.8
Whalen Wood Bunk Beds/2 Twin Beds ,200,Mar 31,3.9
Town & Country Sofa gently used ,50,Apr 6,4.1
"Blowout Sale! All Furniture, Mattresses, Area Rugs and Home Decor ",0,Apr 3,4.1
"Blowout Discount!All Furniture,Mattress-Full,Twin,King,Queen,Bed,Patio ",0,Apr 2,4.1
Girls Twin Bunk Bed ,450,Apr 2,5.9
White metal day bed ,85,Apr 7,7.3
IKEA full size bed frame ,100,Apr 7,7.3
Dining room table set ,700,Apr 11,7.6
Leather couch set ,1000,Apr 11,7.6
Heavy glass top coffee table ,0,Apr 9,7.6
Dining room table and chairs ,700,Apr 4,7.6
Leather Couch set ,1000,Apr 4,7.6
Microfiber Chaise Lounge Chair ,50,Apr 3,8.0
Vintage Dinette Porceliron by Ingrad Richardson ,135,Apr 3,8.0
Ralene Counter Height Dining Room Extension Table (Chairs Included) ,375,Apr 13,8.9
Ralene Counter Height Dining Room Extension Table (Chairs Included) ,375,Apr 13,8.9
Patio/Deck Furniture ,200,Apr 12,8.9
Wicker Chairs ,50,Apr 12,8.9
Patio Table (4 Seats) ,200,Apr 12,8.9
Baker Party Butler ,650,Apr 4,8.9
1950S VINTAGE TELEPHONE SECRETARY DESK ,40,Apr 4,8.9
Coffee table ,75,Mar 31,9.1
Mid-century modern womb chair ,300,Apr 11,9.3
Mid-century modern stools tables ,35,Apr 11,9.3
mid-century modern Chrome ball lamp ,250,Apr 11,9.3
BAMBOO 4 PIECE TABLE/3 CHAIRS BLONDE COLOR PATIO FURNITURE ,125,Apr 11,9.3
VINTAGE SHIPSWHEEL COFFEE/SIDE TABLE ,75,Apr 11,9.3
WHITE WICKER VANITY/SEAT~SHORE HOUSE ,85,Apr 11,9.3
WHITE WICKER COFFEE TABLE FOR INSIDE/OUTSIDE LIVING ,75,Apr 11,9.3
King size Serta Perfect sleeper ,150,Apr 11,9.3
VINTAGE COUNTRY~HAND-MADE WOOD OPEN SHELVED CABINET~PA. DUTCH ,125,Apr 9,9.3
"VINTAGE ""BUTLER"" STYLE COFFEE TABLE~ FURNITURE~ ",120,Apr 9,9.3
TILED TOP WROUGHT IRON WINE BOTTLE HOLDER ,60,Apr 9,9.3
GREEN METAL KITCHEN~BAKERS RACK~ WITH WINE BOTTLES HOLDER ,95,Apr 9,9.3
ashley furniture extralong storage bench/ottoman ,25,Apr 8,9.3
ashley furniture extra long storage bench ,25,Apr 7,9.3
Metal 3 shelf storage unit ,20,Apr 7,9.3
Cherry Tavern Shelf ,235,Apr 7,9.3
Country Furniture Tall Wood Storage Cabinet 4 Shelf Like New! ,45,Apr 2,9.3
Armoire ,80,Apr 3,9.5
Cedar Closet ,175,Apr 2,9.5
Cedar Closet ,175,Apr 2,9.5
Oak Table & 6 Chairs ,350,Apr 4,9.8
Custom Oak Display Case ,300,Apr 4,9.8
Dinette table and chairs ,35,Apr 11,10.0
Vintage Torch Floor Lamp ,35,Apr 11,10.8
"Full Basement setup, wooden couch ",550,Apr 10,10.8
Outdoor/Indoor metal rocker ,119,Apr 10,10.8
Mid Century Night Stand ,40,Apr 3,10.8
Corner Cabinet ,40,Apr 10,11.0
Bernhardt Granite End Table ,100,Apr 7,11.0
Rottan dining table ,50,Apr 4,12.1
Natural Gas Log Set - Vent Free ,75,Apr 8,13.0
NICE PIECES!!!! Ashley Furniture Set - Serengeti Style ,1,Apr 8,13.0
"Dresser Cabinet Upper ""NICE PIECE"" ",25,Apr 5,13.0
secretary desk ,60,Apr 6,13.1
kitchen table set ,50,Apr 6,13.1
Stools ,50,Apr 5,13.1
Moving sale ,1,Apr 4,13.9
High top dining table ,500,Mar 31,14.0
Full solid wood bedroom set with Twin Beds with Mattress & Everything ,650,Apr 7,14.1
"ROUND DINING SET, MATCHING BAR STOOLS, GREEN LEATHER SWIVEL ARMCHAIR ",50,Apr 12,14.2
Futon Mattress Black ,25,Apr 1,14.3
Antique Chinese Rosewood furniture collection for sale ,99,Apr 4,14.8
Mirror ,40,Apr 9,15.1
Antique wooden rope bed frame with top rails ,250,Apr 13,15.7
Chairs and Tables ,250,Apr 12,15.7
Chairs & Tables ,250,Apr 12,15.7
